Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
889at7147	Complete	JAEIGE010000142.1:1950457-1961528	1950457	1961528	+	2710.2	1716	https://www.orthodb.org/v10?query=889at7147	tetratricopeptide repeat protein 28
898at7147	Complete	JAEIGE010000253.1:23495711-23482836	23495711	23482836	-	814.3	1126	https://www.orthodb.org/v10?query=898at7147	Tyrosine-protein kinase receptor
920at7147	Complete	JAEIGE010000017.1:2423416-2433445	2423416	2433445	+	3451.4	1758	https://www.orthodb.org/v10?query=920at7147	Glutamate synthase, alpha subunit, C-terminal
967at7147	Complete	JAEIGE010000332.1:29411369-29401079	29411369	29401079	-	3359.4	1816	https://www.orthodb.org/v10?query=967at7147	HEAT repeat-containing protein 5B isoform X1
969at7147	Complete	JAEIGE010000253.1:9736050-9742415	9736050	9742415	+	1690.9	1833	https://www.orthodb.org/v10?query=969at7147	uncharacterized protein LOC108023667
976at7147	Complete	JAEIGE010000332.1:6097245-6104418	6097245	6104418	+	2712.8	1594	https://www.orthodb.org/v10?query=976at7147	endoribonuclease Dcr-1
977at7147	Complete	JAEIGE010000227.1:8298247-8303622	8298247	8303622	+	2390.1	1469	https://www.orthodb.org/v10?query=977at7147	laminin subunit beta-1
981at7147	Complete	JAEIGE010000332.1:11008515-10970213	11008515	10970213	-	1904.7	1346	https://www.orthodb.org/v10?query=981at7147	PDZ domain
1009at7147	Complete	JAEIGE010000332.1:31835273-31824889	31835273	31824889	-	2888.9	2573	https://www.orthodb.org/v10?query=1009at7147	apolipophorins
1015at7147	Complete	JAEIGE010000332.1:9675266-9666322	9675266	9666322	-	1361.1	1395	https://www.orthodb.org/v10?query=1015at7147	Zinc finger, RanBP2-type
1017at7147	Complete	JAEIGE010000227.1:15861819-15842581	15861819	15842581	-	1621.0	2606	https://www.orthodb.org/v10?query=1017at7147	SHARP, RNA recognition motif 2
1064at7147	Complete	JAEIGE010000308.1:2227199-2245965	2227199	2245965	+	2454.5	1421	https://www.orthodb.org/v10?query=1064at7147	WD40 repeat
1082at7147	Complete	JAEIGE010000227.1:10005214-9998793	10005214	9998793	-	1534.7	1116	https://www.orthodb.org/v10?query=1082at7147	GTPase-activating protein CdGAPr
1099at7147	Complete	JAEIGE010000239.1:594867-584271	594867	584271	-	2286.3	1506	https://www.orthodb.org/v10?query=1099at7147	proteasome-associated protein ECM29 homolog
1122at7147	Complete	JAEIGE010000213.1:5838614-5821398	5838614	5821398	-	2158.4	1270	https://www.orthodb.org/v10?query=1122at7147	SNF2-related, N-terminal domain
1142at7147	Complete	JAEIGE010000253.1:10260439-10270155	10260439	10270155	+	1931.6	1485	https://www.orthodb.org/v10?query=1142at7147	Nuclear pore complex protein Nup205
1152at7147	Complete	JAEIGE010000213.1:1213471-1220504	1213471	1220504	+	1027.7	1088	https://www.orthodb.org/v10?query=1152at7147	BTB/POZ domain
1190at7147	Complete	JAEIGE010000332.1:6146151-6139353	6146151	6139353	-	3258.9	1777	https://www.orthodb.org/v10?query=1190at7147	activating signal cointegrator 1 complex subunit 3
1204at7147	Complete	JAEIGE010000332.1:15352314-15358432	15352314	15358432	+	2469.4	1504	https://www.orthodb.org/v10?query=1204at7147	SNF2-related, N-terminal domain
1216at7147	Complete	JAEIGE010000332.1:25738333-25731634	25738333	25731634	-	2768.8	1394	https://www.orthodb.org/v10?query=1216at7147	WD40-repeat-containing domain
1224at7147	Complete	JAEIGE010000332.1:16357607-16350665	16357607	16350665	-	3426.0	1795	https://www.orthodb.org/v10?query=1224at7147	DNA polymerase epsilon catalytic subunit
1246at7147	Complete	JAEIGE010000227.1:24101997-24107121	24101997	24107121	+	2837.5	1401	https://www.orthodb.org/v10?query=1246at7147	Sec7, C-terminal
1270at7147	Complete	JAEIGE010000332.1:7412626-7427738	7412626	7427738	+	2859.0	1390	https://www.orthodb.org/v10?query=1270at7147	neurexin-1 isoform X1
1273at7147	Complete	JAEIGE010000332.1:7573170-7564678	7573170	7564678	-	2412.1	1409	https://www.orthodb.org/v10?query=1273at7147	probable Rho GTPase-activating protein CG5521 isoform X1
1288at7147	Complete	JAEIGE010000239.1:264760-286076	264760	286076	+	2761.2	1519	https://www.orthodb.org/v10?query=1288at7147	L(2) long form, putative
1297at7147	Complete	JAEIGE010000299.1:7586004-7592475	7586004	7592475	+	1364.2	1454	https://www.orthodb.org/v10?query=1297at7147	nucleoprotein TPR
1314at7147	Complete	JAEIGE010000332.1:3847265-3840117	3847265	3840117	-	1553.0	1215	https://www.orthodb.org/v10?query=1314at7147	Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II
1378at7147	Complete	JAEIGE010000253.1:15141157-15130546	15141157	15130546	-	2911.1	1420	https://www.orthodb.org/v10?query=1378at7147	Clathrin heavy chain
1388at7147	Complete	JAEIGE010000326.1:10337299-10278929	10337299	10278929	-	2114.4	1255	https://www.orthodb.org/v10?query=1388at7147	Nipped-B protein
1424at7147	Complete	JAEIGE010000332.1:8883990-8877173	8883990	8877173	-	1455.6	1395	https://www.orthodb.org/v10?query=1424at7147	FYVE zinc finger
1448at7147	Complete	JAEIGE010000227.1:7276084-7285674	7276084	7285674	+	1439.3	1063	https://www.orthodb.org/v10?query=1448at7147	Sushi/SCR/CCP domain
1460at7147	Complete	JAEIGE010000002.1:10088051-10081646	10088051	10081646	-	2012.1	1243	https://www.orthodb.org/v10?query=1460at7147	Neuralized
1492at7147	Complete	JAEIGE010000227.1:28462698-28452449	28462698	28452449	-	746.9	583	https://www.orthodb.org/v10?query=1492at7147	Armadillo-type fold
1519at7147	Complete	JAEIGE010000332.1:1924992-1933354	1924992	1933354	+	1294.6	1386	https://www.orthodb.org/v10?query=1519at7147	ectopic P granules protein 5 homolog
1524at7147	Complete	JAEIGE010000332.1:171007-189872	171007	189872	+	2567.0	1860	https://www.orthodb.org/v10?query=1524at7147	EGF-like calcium-binding, conserved site
1539at7147	Complete	JAEIGE010000253.1:10623446-10618782	10623446	10618782	-	2475.0	1260	https://www.orthodb.org/v10?query=1539at7147	WD40-repeat-containing domain
1545at7147	Complete	JAEIGE010000016.1:7980024-7972682	7980024	7972682	-	3295.4	1847	https://www.orthodb.org/v10?query=1545at7147	protein KIAA0100
1553at7147	Complete	JAEIGE010000016.1:2131443-2137517	2131443	2137517	+	1680.0	1295	https://www.orthodb.org/v10?query=1553at7147	Autophagy-related, C-terminal
1616at7147	Complete	JAEIGE010000213.1:5014788-5023722	5014788	5023722	+	2755.4	1764	https://www.orthodb.org/v10?query=1616at7147	protein dopey-1 homolog
1629at7147	Complete	JAEIGE010000227.1:2269973-2314846	2269973	2314846	+	2252.1	1574	https://www.orthodb.org/v10?query=1629at7147	WD40-repeat-containing domain
1636at7147	Complete	JAEIGE010000227.1:93349-86575	93349	86575	-	2845.4	1599	https://www.orthodb.org/v10?query=1636at7147	Dedicator of cytokinesis
1674at7147	Complete	JAEIGE010000002.1:143574-130318	143574	130318	-	2614.2	2041	https://www.orthodb.org/v10?query=1674at7147	Nucleosome-remodeling factor subunit NURF301
1712at7147	Complete	JAEIGE010000253.1:8507566-8476205	8507566	8476205	-	2970.1	1767	https://www.orthodb.org/v10?query=1712at7147	Immunoglobulin-like domain
1727at7147	Complete	JAEIGE010000227.1:7660740-7666365	7660740	7666365	+	2623.1	1371	https://www.orthodb.org/v10?query=1727at7147	Alpha-2-macroglobulin, N-terminal
1738at7147	Complete	JAEIGE010000332.1:8291094-8284215	8291094	8284215	-	1869.1	1149	https://www.orthodb.org/v10?query=1738at7147	Thyroglobulin type-1
1739at7147	Complete	JAEIGE010000227.1:7604513-7609931	7604513	7609931	+	2303.3	1281	https://www.orthodb.org/v10?query=1739at7147	Protein MON2
1759at7147	Complete	JAEIGE010000002.1:9179005-9166383	9179005	9166383	-	1785.1	1062	https://www.orthodb.org/v10?query=1759at7147	DEP domain-containing protein 5 isoform X1
1786at7147	Complete	JAEIGE010000253.1:22459368-22467005	22459368	22467005	+	1782.7	1246	https://www.orthodb.org/v10?query=1786at7147	ABC transporter A
1789at7147	Complete	JAEIGE010000332.1:20781407-20749313	20781407	20749313	-	812.7	430	https://www.orthodb.org/v10?query=1789at7147	afadin isoform X1
1846at7147	Complete	JAEIGE010000002.1:6901211-6943246	6901211	6943246	+	2296.5	1390	https://www.orthodb.org/v10?query=1846at7147	Dbl homology (DH) domain
1858at7147	Complete	JAEIGE010000227.1:45561-39072	45561	39072	-	1923.9	1352	https://www.orthodb.org/v10?query=1858at7147	disks large homolog 5
1898at7147	Complete	JAEIGE010000253.1:17826785-17816917	17826785	17816917	-	2048.8	1267	https://www.orthodb.org/v10?query=1898at7147	E3 ubiquitin-protein ligase UBR1
1926at7147	Complete	JAEIGE010000299.1:10689143-10694565	10689143	10694565	+	2065.0	1297	https://www.orthodb.org/v10?query=1926at7147	DNA-directed RNA polymerase subunit
1957at7147	Complete	JAEIGE010000253.1:9075515-9084359	9075515	9084359	+	1985.3	1163	https://www.orthodb.org/v10?query=1957at7147	Rho GTPase-activating protein domain
1962at7147	Complete	JAEIGE010000227.1:18181618-18174018	18181618	18174018	-	1246.7	1021	https://www.orthodb.org/v10?query=1962at7147	ABC transporter A
1967at7147	Complete	JAEIGE010000253.1:24094958-24101425	24094958	24101425	+	1798.9	1275	https://www.orthodb.org/v10?query=1967at7147	anaphase-promoting complex subunit 1
1975at7147	Complete	JAEIGE010000253.1:26967219-26974862	26967219	26974862	+	2921.5	1417	https://www.orthodb.org/v10?query=1975at7147	Voltage-gated ion channel
2004at7147	Complete	JAEIGE010000227.1:4691289-4702927	4691289	4702927	+	420.5	251	https://www.orthodb.org/v10?query=2004at7147	PH-like domain superfamily
2027at7147	Complete	JAEIGE010000017.1:2179973-2145149	2179973	2145149	-	1012.3	824	https://www.orthodb.org/v10?query=2027at7147	Sterile alpha motif domain
2048at7147	Complete	JAEIGE010000227.1:7216651-7224175	7216651	7224175	+	3150.7	1732	https://www.orthodb.org/v10?query=2048at7147	Chitin binding domain
2092at7147	Complete	JAEIGE010000253.1:26908603-26918785	26908603	26918785	+	2132.1	1141	https://www.orthodb.org/v10?query=2092at7147	zinc finger SWIM domain-containing protein 8
2104at7147	Complete	JAEIGE010000227.1:9840738-9919976	9840738	9919976	+	2454.3	1551	https://www.orthodb.org/v10?query=2104at7147	Fibronectin type III
2109at7147	Complete	JAEIGE010000227.1:28954042-28949216	28954042	28949216	-	1888.7	1162	https://www.orthodb.org/v10?query=2109at7147	WD40/YVTN repeat-like-containing domain superfamily
2118at7147	Complete	JAEIGE010000332.1:6659459-6680733	6659459	6680733	+	1875.4	1343	https://www.orthodb.org/v10?query=2118at7147	Cadherin
2164at7147	Complete	JAEIGE010000253.1:24049146-24057002	24049146	24057002	+	1365.5	903	https://www.orthodb.org/v10?query=2164at7147	Adenylyl cyclase class-3/4/guanylyl cyclase
2199at7147	Complete	JAEIGE010000332.1:20320567-20314032	20320567	20314032	-	2487.2	1486	https://www.orthodb.org/v10?query=2199at7147	myotubularin-related protein 13
2200at7147	Complete	JAEIGE010000253.1:26367538-26374024	26367538	26374024	+	2118.5	1093	https://www.orthodb.org/v10?query=2200at7147	DNA-directed RNA polymerase subunit
2213at7147	Complete	JAEIGE010000332.1:1484610-1479728	1484610	1479728	-	1776.7	1190	https://www.orthodb.org/v10?query=2213at7147	eIF-2-alpha kinase GCN2
2232at7147	Complete	JAEIGE010000253.1:6809462-6801266	6809462	6801266	-	1674.3	1081	https://www.orthodb.org/v10?query=2232at7147	carboxypeptidase D isoform X1
2233at7147	Complete	JAEIGE010000227.1:25227251-25211038	25227251	25211038	-	2520.5	1216	https://www.orthodb.org/v10?query=2233at7147	dual oxidase
2249at7147	Complete	JAEIGE010000299.1:8831779-8837698	8831779	8837698	+	1915.2	1463	https://www.orthodb.org/v10?query=2249at7147	nucleoporin NUP188 homolog
2257at7147	Complete	JAEIGE010000253.1:26247485-26231832	26247485	26231832	-	735.9	864	https://www.orthodb.org/v10?query=2257at7147	Zinc finger C2H2 superfamily
2273at7147	Complete	JAEIGE010000227.1:13072706-13104159	13072706	13104159	+	2137.7	1219	https://www.orthodb.org/v10?query=2273at7147	Ankyrin repeat-containing domain
2274at7147	Complete	JAEIGE010000301.1:2084216-2059724	2084216	2059724	-	1861.5	1129	https://www.orthodb.org/v10?query=2274at7147	Immunoglobulin-like domain
2293at7147	Complete	JAEIGE010000308.1:1874214-1886235	1874214	1886235	+	2709.3	1378	https://www.orthodb.org/v10?query=2293at7147	Kinesin
2302at7147	Complete	JAEIGE010000308.1:2888304-2882860	2888304	2882860	-	1965.8	1213	https://www.orthodb.org/v10?query=2302at7147	Cadherin
2306at7147	Complete	JAEIGE010000016.1:573299-578177	573299	578177	+	1439.4	997	https://www.orthodb.org/v10?query=2306at7147	Leucine-rich repeat
2315at7147	Complete	JAEIGE010000002.1:7540983-7535304	7540983	7535304	-	931.6	745	https://www.orthodb.org/v10?query=2315at7147	Ubiquitin specific protease, conserved site
2334at7147	Complete	JAEIGE010000213.1:11155651-11161346	11155651	11161346	+	2197.1	1175	https://www.orthodb.org/v10?query=2334at7147	Tyrosine-protein kinase receptor
2361at7147	Complete	JAEIGE010000332.1:13090875-13095577	13090875	13095577	+	1700.2	1116	https://www.orthodb.org/v10?query=2361at7147	DNA polymerase
2377at7147	Complete	JAEIGE010000227.1:9352952-9357882	9352952	9357882	+	1416.9	1145	https://www.orthodb.org/v10?query=2377at7147	nuclear pore complex protein Nup160 homolog
2383at7147	Complete	JAEIGE010000002.1:10489677-10499720	10489677	10499720	+	1649.4	923	https://www.orthodb.org/v10?query=2383at7147	Ankyrin repeat-containing domain
2390at7147	Complete	JAEIGE010000299.1:1959186-1983360	1959186	1983360	+	1978.1	1151	https://www.orthodb.org/v10?query=2390at7147	Leucine-rich repeat
2407at7147	Complete	JAEIGE010000002.1:11409426-11413823	11409426	11413823	+	1570.4	959	https://www.orthodb.org/v10?query=2407at7147	guanine nucleotide exchange factor subunit Rich
2421at7147	Complete	JAEIGE010000332.1:4024703-4041189	4024703	4041189	+	2074.5	1058	https://www.orthodb.org/v10?query=2421at7147	protein mesh isoform X1
2437at7147	Complete	JAEIGE010000227.1:28595598-28624946	28595598	28624946	+	1208.4	613	https://www.orthodb.org/v10?query=2437at7147	Immunoglobulin-like domain
2459at7147	Complete	JAEIGE010000213.1:5949052-5991249	5949052	5991249	+	1903.9	1076	https://www.orthodb.org/v10?query=2459at7147	transient receptor potential cation channel trpm isoform X1
2483at7147	Complete	JAEIGE010000227.1:7270321-7265350	7270321	7265350	-	1549.2	1038	https://www.orthodb.org/v10?query=2483at7147	WD40 repeat
2497at7147	Complete	JAEIGE010000299.1:4332931-4326555	4332931	4326555	-	2099.8	1377	https://www.orthodb.org/v10?query=2497at7147	integrator complex subunit 1
2501at7147	Complete	JAEIGE010000227.1:15428954-15422859	15428954	15422859	-	2161.5	1505	https://www.orthodb.org/v10?query=2501at7147	WD40-repeat-containing domain
2540at7147	Complete	JAEIGE010000213.1:5522587-5513670	5522587	5513670	-	1142.6	582	https://www.orthodb.org/v10?query=2540at7147	Ferric reductase, NAD binding domain
2590at7147	Complete	JAEIGE010000332.1:24634054-24629058	24634054	24629058	-	977.7	650	https://www.orthodb.org/v10?query=2590at7147	Ubiquitin-conjugating enzyme E2
2598at7147	Complete	JAEIGE010000332.1:26508170-26513157	26508170	26513157	+	1450.1	929	https://www.orthodb.org/v10?query=2598at7147	Unconventional myosin 95e isoform
2625at7147	Complete	JAEIGE010000332.1:26442771-26438175	26442771	26438175	-	1754.9	1089	https://www.orthodb.org/v10?query=2625at7147	Zinc finger, RING/FYVE/PHD-type
2656at7147	Complete	JAEIGE010000253.1:6674208-6670015	6674208	6670015	-	968.8	786	https://www.orthodb.org/v10?query=2656at7147	BRCT domain
2661at7147	Complete	JAEIGE010000227.1:21998253-21978865	21998253	21978865	-	1461.7	1063	https://www.orthodb.org/v10?query=2661at7147	Leucine-rich repeat
2687at7147	Complete	JAEIGE010000253.1:8750543-8772569	8750543	8772569	+	2234.7	1325	https://www.orthodb.org/v10?query=2687at7147	Rab3 GDP-GTP exchange factor, isoform G
2714at7147	Complete	JAEIGE010000332.1:10902905-10898468	10902905	10898468	-	2348.7	1116	https://www.orthodb.org/v10?query=2714at7147	Cytoplasmic FMR1-interacting protein
2750at7147	Complete	JAEIGE010000002.1:2475074-2480322	2475074	2480322	+	1957.8	978	https://www.orthodb.org/v10?query=2750at7147	WD40/YVTN repeat-like-containing domain superfamily
2752at7147	Complete	JAEIGE010000253.1:9119809-9130771	9119809	9130771	+	2097.6	1025	https://www.orthodb.org/v10?query=2752at7147	Phosphorylase b kinase regulatory subunit
2768at7147	Complete	JAEIGE010000002.1:1578075-1584038	1578075	1584038	+	2283.3	1322	https://www.orthodb.org/v10?query=2768at7147	Laminin, N-terminal
2780at7147	Complete	JAEIGE010000213.1:887306-891732	887306	891732	+	1591.3	1033	https://www.orthodb.org/v10?query=2780at7147	trafficking protein particle complex subunit 8
2789at7147	Complete	JAEIGE010000332.1:26537943-26533562	26537943	26533562	-	1043.7	944	https://www.orthodb.org/v10?query=2789at7147	protein RRP5 homolog
2817at7147	Complete	JAEIGE010000017.1:1522881-1536912	1522881	1536912	+	2528.8	2210	https://www.orthodb.org/v10?query=2817at7147	WD40-repeat-containing domain
2831at7147	Complete	JAEIGE010000332.1:25722260-25730625	25722260	25730625	+	3675.6	2069	https://www.orthodb.org/v10?query=2831at7147	Microtubule associated protein xmap215
2841at7147	Complete	JAEIGE010000227.1:14854321-14858054	14854321	14858054	+	1017.9	794	https://www.orthodb.org/v10?query=2841at7147	Leucine-rich repeat
2843at7147	Complete	JAEIGE010000016.1:7960383-7972021	7960383	7972021	+	1493.1	1026	https://www.orthodb.org/v10?query=2843at7147	trafficking protein particle complex subunit 11
2889at7147	Complete	JAEIGE010000227.1:13266347-13261772	13266347	13261772	-	1661.3	989	https://www.orthodb.org/v10?query=2889at7147	protein brunelleschi
2891at7147	Complete	JAEIGE010000332.1:7787000-7781403	7787000	7781403	-	2050.9	1068	https://www.orthodb.org/v10?query=2891at7147	myosin heavy chain 95F isoform X1
2918at7147	Complete	JAEIGE010000239.1:522859-529265	522859	529265	+	1696.4	959	https://www.orthodb.org/v10?query=2918at7147	Sec7 domain
2948at7147	Complete	JAEIGE010000253.1:6746276-6752679	6746276	6752679	+	904.0	701	https://www.orthodb.org/v10?query=2948at7147	Zinc finger C2H2 superfamily
2953at7147	Complete	JAEIGE010000332.1:13796710-13789920	13796710	13789920	-	2506.6	1398	https://www.orthodb.org/v10?query=2953at7147	Ankyrin repeat-containing domain
2987at7147	Complete	JAEIGE010000332.1:24523275-24528394	24523275	24528394	+	2098.8	1258	https://www.orthodb.org/v10?query=2987at7147	High mobility group box domain
3013at7147	Complete	JAEIGE010000227.1:17658150-17650643	17658150	17650643	-	440.5	2105	https://www.orthodb.org/v10?query=3013at7147	Sperm-tail PG-rich repeat
3067at7147	Complete	JAEIGE010000227.1:20366351-20355812	20366351	20355812	-	1502.3	943	https://www.orthodb.org/v10?query=3067at7147	voltage-dependent calcium channel subunit alpha-2/delta-3
3077at7147	Complete	JAEIGE010000227.1:24475959-24485878	24475959	24485878	+	1395.3	1244	https://www.orthodb.org/v10?query=3077at7147	Protein SOGA
3078at7147	Complete	JAEIGE010000299.1:8523159-8528057	8523159	8528057	+	2274.0	1303	https://www.orthodb.org/v10?query=3078at7147	Glycogen debranching enzyme
