3L	8288958	8289958	1	10.8	288
3L	8847116	8848116	1	0.2	608
3L	8898256	8899256	1	0.8	4512
3L	9005938	9006938	1	0.1	5228
3L	9006933	9007933	1	0	3749
3L	9134088	9135088	1	0	5218
3L	9135084	9136084	1	0.8	3531
3L	9135085	9136085	1	0.1	4142
3L	9162974	9163974	1	0.2	5179
3L	9892546	9893546	1	0.1	5217
3L	9958439	9959439	1	0.1	5114
3L	10526630	10527630	1	0.1	5220
3L	11390226	11391226	1	0.1	5273
3L	11620952	11621952	1	0	5211
3L	11748029	11749029	1	0	5208
3L	12836798	12837798	1	0.1	5225
3L	13726412	13727412	1	0.1	5227
3L	14292666	14293666	1	0.1	5187
3L	14292671	14293671	1	0.1	5194
3L	14293664	14294664	1	0.1	4066
3L	14293665	14294665	1	0.6	5232
3L	15276141	15277141	1	0	5208
3L	15277146	15278146	1	0.2	5079
3L	16393983	16394983	1	0	5210
3L	16528707	16529707	1	0.1	5224
3L	18167445	18168445	1	0	5222
3L	18730411	18731411	1	0	5217
3L	18731406	18732406	1	0.7	152
3L	19791314	19792314	1	0.2	586
3L	20144198	20145198	1	0	5257
3L	21498972	21499972	1	0	5216
3L	21628197	21629197	1	0	5227
3L	21629225	21630225	1	0	3935
3L	21629857	21630857	1	0.1	4141
3L	22671740	22672740	1	0	5200
3L	24141892	24142892	6	23.9	NA
3L	24844635	24845635	3	25.3	342
3L	24844775	24845775	1	25.3	342
3L	24844786	24845786	1	25.3	342
3L	25228248	25229248	1	24.1	1466
3L	25232913	25233913	8	11.5	43
3L	25866232	25867232	1	0.4	4338
3L	26320134	26321134	1	0.1	5210
3L	26807605	26808605	1	21.3	106
3L	27543536	27544536	6	22.4	141
3L	27616372	27617372	8	25	45
3L	27616411	27617411	1	25.5	329
3L	27616412	27617412	1	25.6	328
3L	27616442	27617442	1	23.7	327
3L	27616442	27617442	1	25.3	328
3L	27616443	27617443	1	25.3	328
3L	28110953	28111953	1	23.1	153
3L	28117453	28118453	1	0.2	5154
3L	28117477	28118477	1	0.2	5159
3R	380987	381987	1	0.2	5252
3R	640437	641437	7	11.1	45
3R	896208	897208	1	0.1	5217
3R	1975067	1976067	1	0.1	5208
3R	3128640	3129640	6	25.4	45
3R	3604315	3605315	1	0	5207
3R	4240710	4241710	1	4	99
3R	5656028	5657028	1	0	5208
3R	8980708	8981708	1	0	5221
3R	9619327	9620327	1	0.1	5242
3R	11145277	11146277	1	0.4	4159
3R	11433750	11434750	1	0.1	4678
3R	12663397	12664397	1	0.1	5255
3R	12858455	12859455	1	0.1	5267
3R	13128352	13129352	1	0.2	5270
3R	13159700	13160700	1	0.1	5198
3R	13213015	13214015	1	0.1	5250
3R	14340721	14341721	1	0.2	5257
3R	14748265	14749265	1	0.2	5181
3R	15583826	15584826	1	0	5223
3R	16782200	16783200	1	0.2	4228
3R	17387970	17388970	1	0	5218
3R	19258842	19259842	1	0.1	5272
3R	19828153	19829153	1	0.1	5189
3R	20535507	20536507	1	3.6	764
3R	20535508	20536508	1	0.9	5038
3R	20535514	20536514	1	0.3	5094
3R	21463923	21464923	1	0.1	5183
3R	21775621	21776621	1	0	5234
3R	22672133	22673133	1	0.1	5217
3R	23323845	23324845	1	0.9	4493
3R	24464038	24465038	1	0	5212
3R	24512577	24513577	1	0.1	5258
3R	27399048	27400048	1	0.1	5107
3R	27564011	27565011	1	0.1	5265
3R	27885994	27886994	1	0.1	5218
3R	28798143	28799143	1	0.1	5269
3R	30026795	30027795	1	0.1	5232
3R	30026795	30027795	1	0.1	5232
3R	30026798	30027798	1	0	5227
3R	30505757	30506757	1	0.2	5254
4	578093	579093	1	0.1	5206
4	991515	992515	1	0.3	NA
JAEMNT010000039.1_1_80341_+	53436	54436	1	25.5	284
JAEMNT010000039.1_1_80341_+	63396	64396	7	25.1	284
Unmapped_Scaffold_8_D1580_D1567	1	1001	1	0	5244
X	3479579	3480579	1	0	4805
X	4051159	4052159	1	0	5212
X	4618994	4619994	1	0.1	5269
X	4875303	4876303	1	0	4957
X	5975730	5976730	1	0.2	4338
X	5976735	5977735	1	0.2	558
X	7383344	7384344	1	0.1	5215
X	8353773	8354773	1	0	5211
X	8753669	8754669	1	0	3543
X	8754681	8755681	1	0.3	4933
X	9099072	9100072	1	0.2	1840
X	10159316	10160316	1	0.3	5279
X	10375881	10376881	1	0	5206
X	11449274	11450274	1	0.2	5283
X	12563999	12564999	1	0.3	5322
X	12745664	12746664	1	0	4149
X	13125424	13126424	1	0	5213
X	13690975	13691975	1	0.1	5218
X	15421669	15422669	1	0	5222
X	16319370	16320370	1	0.1	5220
X	16887678	16888678	1	0.2	4199
X	18030584	18031584	1	0	5223
X	18708465	18709465	1	21.9	76
X	18708925	18709925	1	16.9	702
X	18709256	18710256	1	9.7	759
X	18709742	18710742	1	11.8	189
X	19300894	19301894	1	0	5219
X	20129274	20130274	1	0.1	4069
X	20130301	20131301	1	0.5	898
X	20367887	20368887	1	0	NA
X	20901855	20902855	1	0.2	5255
X	23298223	23299223	1	0	5226
X	23298445	23299445	1	0	5210
X	23455145	23456145	1	0.3	NA
X	23843960	23844960	1	0.7	1020
